"fecha_hecho","departamento","municipio","cantidad","unidad","LATITUD","LONGITUD"
2014-08-28,"ANTIOQUIA","MEDELLIN",0.012,"KILOGRAMO",6.257590259,-75.61103107
2014-08-28,"ANTIOQUIA","MEDELLIN",0.012,"KILOGRAMO",6.257590259,-75.61103107
2014-08-28,"NORTE DE SANTANDER","CUCUTA",0.025,"KILOGRAMO",8.112041811,-72.48862641
2014-08-28,"TOLIMA","IBAGUE",0.042,"KILOGRAMO",4.451921427,-75.252591
2014-08-28,"HUILA","NEIVA",0.1143,"KILOGRAMO",2.993360046,-75.27236232
2014-08-28,"META","PUERTO GAITAN",0.255,"KILOGRAMO",4.005034467,-71.63157429
2014-08-28,"VALLE DEL CAUCA","CALIMA",0.003,"KILOGRAMO",3.923271619,-76.64260484
2014-08-28,"VALLE DEL CAUCA","LA VICTORIA",0.011,"KILOGRAMO",4.483511142,-75.96677303
2014-08-28,"VALLE DEL CAUCA","RESTREPO",0.003,"KILOGRAMO",3.806494973,-76.53489853
2014-08-28,"VALLE DEL CAUCA","TORO",0.02,"KILOGRAMO",4.638421279,-76.08106176
2014-08-28,"LA GUAJIRA","RIOHACHA",122,"KILOGRAMO",11.24297214,-72.95876315
2014-08-28,"RISARALDA","SANTA ROSA DE CABAL",0.072,"KILOGRAMO",4.833789828,-75.54950174
2014-08-28,"BOYACA","MUZO",0.009,"KILOGRAMO",5.539429272,-74.11177139
2014-08-28,"VALLE DEL CAUCA","CALI",0.02,"KILOGRAMO",3.399043723,-76.57649259
2014-08-28,"ANTIOQUIA","HELICONIA",0.1,"KILOGRAMO",6.214511788,-75.74971002
2014-08-28,"ANTIOQUIA","JERICO",0.001,"KILOGRAMO",5.769820536,-75.76488256
2014-08-28,"BOGOTA D.C.","BOGOTA D.C.",0.096,"KILOGRAMO",4.316107698,-74.1810727
2014-08-28,"BOGOTA D.C.","BOGOTA D.C.",0.11,"KILOGRAMO",4.316107698,-74.1810727
2014-08-28,"ANTIOQUIA","MACEO",0.002,"KILOGRAMO",6.534573585,-74.71410854
2014-08-28,"ANTIOQUIA","RIONEGRO",0.496,"KILOGRAMO",6.150785807,-75.41076052
2014-08-28,"ANTIOQUIA","SAN ROQUE",0.007,"KILOGRAMO",6.466165211,-74.9450732
2014-08-28,"ANTIOQUIA","SAN RAFAEL",0.005,"KILOGRAMO",6.31074453,-74.99858652
2014-08-28,"ANTIOQUIA","SANTAFE DE ANTIOQUIA",0.005,"KILOGRAMO",6.535711576,-75.90426658
2014-08-28,"ANTIOQUIA","APARTADO",0.255,"KILOGRAMO",7.86047815,-76.58236264
2014-08-28,"BOGOTA D.C.","BOGOTA D.C.",0.01,"KILOGRAMO",4.316107698,-74.1810727
2014-08-28,"BOGOTA D.C.","BOGOTA D.C.",0.1,"KILOGRAMO",4.316107698,-74.1810727
2014-08-28,"ANTIOQUIA","URAMITA",0.004,"KILOGRAMO",6.913916924,-76.13318514
2014-08-28,"SANTANDER","FLORIDABLANCA",0.001,"KILOGRAMO",7.079704598,-73.0679925
2014-08-28,"SANTANDER","FLORIDABLANCA",0.001,"KILOGRAMO",7.079704598,-73.0679925
